variable,label
c7,Number of Power Outages Experienced In A Typical Month In Last Fiscal Year
c8a,Average Duration of Power Outages: Hours
c8b,Average Duration of Power Outages: Minutes
c9a,"In Last FY, Losses As % of Annual Sales Due To Power Outages"
c9b,"In Last FY, Value of Losses Due To Power Outages"
c10,Generator Shared or Owned Over The Course of Last Fiscal Year?
c11,% Electricity From Generator Owned/Shared By The Establishment In Last FY
c12,Application To Obtain A Water Connection Submitted Over The Last 2 Years
c13,How Many Days Did It Take For You To Obtain A Water Connection?
c14,"When You Applied For A Water Connection, Was An Informal Gift/Payment Requested?"
c33,Cost to obtain water connection
c34,Water consumption in a typical month
c34b,Unit measure of answer to c34
c34bx,Other (Specify)
c152,Did You Experience Insufficient Water Supply In Last FY?
c162,Frequency of Incidents of Water Shortages In A Typical Month In Last FY
c172,Average Length of Water Shortages In Last Fiscal Year
c35a,"In Last FY, Losses As % of Annual Sales Due To Water Shortages"
c35b,"In Last FY, Value of Losses Due To Water Shortages"
c22b,Establishment Has Its Own Website
c36,Application To Obtain Fixed Broadband Internet Connection Over The Last 2 Years
c37,How Many Days Did It Take For You To Obtain Internet Connection?
c38,Cost to obtain Internet connection
c39,Did You Experience Internet Disruptions In Last FY?
c40a,Average Length of Internet Disruptions: Hours
c40b,Average Length of Internet Disruptions: Minutes
c41a,"In Last FY, Losses As % of Annual Sales Due To Internet Disruptions"
c41b,"In Last FY, Value of Losses Due To Internet Disruptions"
c42,How difficult to switch internet providers?
c30a,How Much of An Obstacle: Electricity To Operations of This Establishment?
d1a1a,Establishment'S Main Product/Service Last FY
d1a6a,Total number of hotel rooms in the last FY
d1a6b,Total areas of rooms in the last FY
d1a6c,Specify units
d1a6cx,Other (Specify)
d1a3,Main Product/Service: Percent of Total Annual Sales
d2,"In Last Fiscal Year, What Were This Establishment’S Total Annual Sales?"
d2x,Please Also Write Out The Number
d2a1,What were the establishment's sales 2 years ago?
d2a1x,Please Also Write Out The Number
n3,What were the establishment's sales 3 years ago?
n3x,Please Also Write Out The Number
d3a,% of Sales: National Sales
d3b,% of Sales: Indirect Exports
d3c,% of Sales: Direct Exports
d31x,Main destination of exports (country code)
d32,Main point of exit
d4a,"In Last FY, Avg. Num. of Days For Exported Goods To Clear Customs?"
d4b,"If less than a day, total hours for exported goods to clear customs"
d33a,"In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age"
d33b,"If less than a day, total hours for exported goods to clear all border control a"
d34,FCA costs to comply with all export requirements (% of value of goods exported)
d35,Any exports shipped by main parcel?
d36a,"In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age"
d36b,"If less than a day, total hours for exported goods to clear all border control a"
d37,Average cost of digital exports (% of value of goods)
d8,In What Year Did This Establishment First Export Directly or Indirectly?
d12a,% of Material Inputs And Supplies of Domestic origin In Last Fiscal Year
d12b,% of Material Inputs And Supplies of Foreign origin In Last Fiscal Year
d13,Were Any of These Material Inputs And Supplies Imported Directly?
d38x,Main origin of imports (country code)
d39,Main point of entry
d14a,Avg. Num. of Days For Imported Goods To Clear Customs In Last Fiscal Year
d14b,"If less than a day, total hours for imported goods to clear customs"
d40a,"In Last FY, Avg. Num. of Days For Imported Goods To Clear all border control age"
d40b,"If less than a day, total hours for imported goods to clear all border control a"
d41,DAP costs to comply with all import requirements (% of value of goods imported)
d30a,How Much of An Obstacle: Transport?
d30b,How Much of An Obstacle: Customs And Trade Regulations?
o1,"In the last three years, establishment had any commercial dispute?"
o2,"Use of courts, arbitration etc. to (or attempt to ) resolve  commercial dispute?"
o3a,Reliable alternative to courts for resolving commercial disputes: Arbitration?
o3b,Reliable alternative to courts for resolving commercial disputes:Mediation etc.?
r1,What Happened When Problem In The Production Process/Services Provision Arose?
r2,Did This Establishment Monitor Any Production/Service Performance Indicators?
r3,How Many Production/Service Provision Performance Indicators Were Monitored?
r4,Did This Establishment Have Production/Service Provision Targets?
r5,What Best Describes The Time Frame of Production/Service Provision Targets?
r6,How Easy To Achieve Its Production/Service Provision Targets?
r7,Who Was Aware of The Production/Service Provision Targets At This Establishment?
r8,Was There Performance Bonuses Based On Production/Service Provision Targets?
r9,What Were Managers' Performance Bonuses Usually Based On?
r10,What Was The Primary Way Non-Managers Were Promoted?
r11,When Was An Under-Performing Non-Manager Reassigned or Dismissed?
e1,"In Last FY, Main Market For Establishment'S Main Product"
e2b,Competitors For The Main Product/Service In The Main Market
e31a,Market share of largest competitor in the last fiscal year
e31b,Market share of largest competitor in the last fiscal year
e6,Do You Use Technology Licensed From A Foreign-Owned Company?
e11,Does This Establishment Compete Against Unregistered or Informal Firms?
e32,Change in competition in the last year?
e33,Establishment can increase prices more than competitors without losing customers
e34,SOEs operating in the establishment's main market?
e35,How SOE affects ability to grow and expand?
e30,How Much of An Obstacle: Practices of Competitors In Informal Sector?
h1,New Products/Services Introduced Over Last 3 Yrs
h2,New Products/Services Also New For Thr Establishment'S Main Market
h3x,Describe In Detail The Main New or Significantly Improved Product or Service
h4x,Describe How The Main New/Significantly Improved Product or Service Is Different
h5,"During Last 3 Yrs, Establishment Introduced New/Significantly Improved Process"
h6x,Describe Main New/Significantly Improved Process This Establishment Introduced
h7x,How The Main New/Significantly Improved Process Is Different
h8,"During Last Fiscal Year, Establishment Spent On R&D (Excl Market Research)?"
h9,"How Much Spent On R&D, Either In-House or External?"
f1,"In Last FY, What Was The Capacity Utilization (%) of This Establishment?"
g2,Applic. To Obtain A Construction-Related Permit Submitted Over The Last 2 Years
g3,How Many Days Did It Take For You To Obtain A Construction-Related Permit?
g4,Informal Gift/Payment Expected or Requested For A Construction-Related Permit
g31,"In last 2 years, establishment applied for occupancy permit"
g32,Wait for occupancy permit
g33,Cost of occupancy permit
g5a,What Is The Total Selling Area In This Establishment?
g5b,The Area Is Measured In:
g5bx,Specify Other Units (If Not Included Above) The Area Is Measured In
g30a,How Much of An Obstacle: Access To Land?
ge3,Experience damage of physical assets due to extreme weather events?
ge3a,Monetary damage of physical assets?
ge7,"Over the last 3 years, establishment monitor its CO2 emissions?"
ge8d,"Over last 3 years, establishment adopt energy management measures?"
k3a,% of Working Capital Financed From Internal Funds/Retained Earnings
k3bc,% of Working Capital Borrowed From Banks
k3e,% of Working Capital Borrowed From Non-Bank Financial Institutions
k3f,% of Working Capital Purchased On Credit/Advances From Suppliers /Customers
k3hd,"% of Working Capital Financed By Other (Money Lenders, Friends, Relatives, Etc)"
k4,Did This Establishment Purchase Any Fixed Assets In Last FY?
n5a,Total Annual Expenditure For Purchases of Equipment In Last FY
n5b,Total Annual Expenditure For Purchases of Land And Buildings In Last FY
k5a,"Last FY, % Fixed Assets Funded By: Internal Funds/Retained Earnings"
k5a1,Fixed Assets - Value Internal Funds or Retained Earnings
k5i,"Last FY, % Fixed Assets Funded By: Owners’ Contributions or Issued New Equity"
k5i1,Fixed Assets - Value Owners’ Contribution or Issued New Equity Shares
k5bc,"Last FY, % Fixed Assets Funded By: Bank Borrowing"
k5bc1,Fixed Assets - Value Borrowed From Banks
k5e,"Last FY, % Fixed Assets Funded By: Non-Bank Financial Institutions"
k5e1,Fixed Assets - Value Borrowed From Non-Bank Financial Institutions
k5f,"Last FY, % Fixed Assets Funded By: Credit From Suppliers/Advances From Customers"
k5f1,"Fixed Assets - Value Purchases On Credit From Suppliers, Advances From Customers"
k5hdj,"Last FY, % Fixed Assets Funded By: Other (Money Lenders\Friends\Relatives\Etc)"
k5hdj1,Fixed Assets - Value Other
k4b,Purchase Any New/Used Fixed Assets?
n5c,Total Annual Expenditure For Purchases of Equipment In Year Prior To Last FY
n5d,Total Annual Expenditure On Land And Buildings In Year Prior To Last FY
k6,Does This Establishment Have A Checking And\or Saving Account?
k7,"At This Time, Does This Establishment Have An Overdraft Facility?"
k82,Establishment Has A Line of Credit or Loan From A Financial Institution?
k9,Type of Financial Institution That Granted The Line of Credit or Loan
k10,Year When The Most Recent Loan/Line of Credit Approved
k11,"For The Most Recent Loan, What Was The Value At The Time of Approval?"
k13,Financing Required For The Most Recent Line of Credit or Loan
k14a,"Type of Collateral Required For The Most Recent Loan? Land, Buildings"
k14b,Type of Collateral Required For The Most Recent Loan? Equipment
k14c,Type of Collateral Required For The Most Recent Loan? Accounts
k14d,Type of Collateral Required For The Most Recent Loan? Personal Assets
k14e,Type of Collateral Required For The Most Recent Loan? Other
k15a,Value of Collateral Required For The Most Recent Credit/Loan
k15b,Total Number of Open Lines of Credit and Outstanding Loans
k15c,Total Outstanding Balance of All Open Lines of Credit and Loans (LCU)
k15d,Outstanding Personal Loans Used To Finance Establishment'S Business Activities?
k162,"In Last FY, Did Establishment Apply For New Loans/Lines of Credit?"
k17,Main Reason For Not Applying For New Loans or New Lines of Credit
k20a1,What Was The Outcome of That Most Recent Application For Loan/Line of Credit?
k31,Total cost to apply for most recent loan
k32,Days to receive a decision about most recent loan application
k21,Financial Statements Checked & Certified By External Auditor In Last FY?
k33,Percentage of payments received using e-payments
k34,Main type of e-payment accepted
k35,Avg. days to receive main type of e-payment
k36,Cost per transaction (% of transaction) to receive main type of e-payment
k37,Monthly fees and subscription costs to receive main type of e-payment
k38,Percentage of payments made using e-payments
k39,Main type of e-payment used to make payments
k40,Cost per transaction (% of transaction) to make main type of e-payment
k30,How Much of An Obstacle: Access To Finance
j31,"In resolving commercial disputes, courts are independent and impartial"
j2,What % of Senior Management Time Was Spent In Dealing With Govt Regulations?
j3,"Over The Last 12 Months, Was This Establishment Inspected By Tax officials?"
j4,Frequency of Inspections/Requirement For Meeting By Tax officials
j5,In Any of These Inspections Was A Gift/Informal Payment Requested ?
j32,Did any of these visits or meetings consist of a tax audit?
j33,Weeks until final audit report was received
j34,Establishment outsourced some tax-related activities in the last FY
j35a,Total annual time spent on tax compliance (hours)
j35b,Average monthly time spent on tax compliance (hours)
j36,"In last FY, did establishment file taxes electronically"
j37,"In last FY, did establishment pay taxes electronically"
j38,"In the last 3 yrs., establishment has applied for a VAT refund"
j39,Weeks to receive VAT refund
j40,Main reason for not applying for a VAT tax refund
j6a,Government Contract Secured (or Attempted) In The Last 12 Months?
j41,Degree of difficulty to comply with govt contract tender requirements
j42,Establishment has held a govt contract in last 3 yrs?
j43,Typical number of days to receive payment under govt contract
j7a,Percent of Total Annual Sales Paid In Informal Payments
j7b,Total Annual Informal Payment
j10,Application To Obtain An Import License Submitted Over The Last 2 Years?
j11,How Many Days Did It Take To Obtain Your Import License?
j12,"When You Applied For An Import License, Was An Informal Gift/Payment Requested?"
j13,Application To Obtain An Operating License Submitted Over Last 2 Years?
j14,How Many Days Did It Take To Obtain Your Operating License?
j15,When You Applied For Operating License Was An Informal Gift/Payment Requested?
j30a,How Much of An Obstacle: Tax Rates
j30b,How Much of An Obstacle: Tax Administrations
j30c,How Much of An Obstacle: Business Licensing And Permits
j30e,How Much of An Obstacle: Political Instability
j30f,How Much of An Obstacle: Corruption
h30,How Much of An Obstacle: Courts
i30,"How Much of An Obstacle: Crime, Theft And Disorder?"
j30_taxrate_pos,J30: rotation position 1
j30_taxadmin_pos,J30: rotation position 2
j30_permit_pos,J30: rotation position 3
j30_instability_pos,J30: rotation position 4
j30_corruption_pos,J30: rotation position 5
j30_courts_pos,J30: rotation position 6
j30_crime_pos,J30: rotation position 7
l1,"Num. Permanent, Full-Time Employees At End of Last Fiscal Year"
l2,"Num. Permanent, Full-Time Employees At End of 3 Fiscal Years Ago"
l3a,Num. Full-Time Employees At End of Last FY: Production Workers
l3b,Num. Full-Time Employees At End of Last FY: Non-Production Workers
l4a1,"Num. of Permanent, Full-Time Skilled Production Workers, Last FY"
l4a2,"Num. of Permanent, Full-Time Semi-skilled Production Workers, Last FY"
l4b,"Num. of Permanent, Full-Time Low-skilled Production Workers, Last FY"
l5a,Num. Full-Time Employees At End of Last FY: Female Production Workers
l5b,Num. Full-Time Employees At End of Last FY: Female Non-Production Workers
l5,Num. Full-Time Employees At End of Last FY: Female
l9b,% of Full Time Workers Completed High School End of Last FY
l9b1,Number of Full Time Workers Completed High School
l10,"Formal Training Programs For Permanent, Full-Time Employees In Last FY"
l11a,% Permanent Full-Time Production Employees Received Formal Training In Last FY
l11a1,Training Programs Amount: Production Full-Time Permanent Employees Trained
l11b,% Permanent Fulltime Nonproduction Employees Received Formal Training In Last FY
l11b1,Training Programs Amount:Non-Production Full-Time Permanent Employees Trained
l12a,% Permanent Full-Time Female Employees Received Formal Training In Last FY
l12a1,Training Programs Amount: Full-Time Permanent Female Employees Trained
l31,"In the last FY, number of workers establishment needed to hire"
l32,"In the last FY, number of workers establishment hired"
l33,Main reason establishment did not hire more workers in the last FY
l34,"In the last 3 yrs., establishment has dismissed any permanent, full-time workers"
l35,Typical number of weeks to dismiss full-time permanent worker
l36,Typical number of weeks paid in severance
l1a,Num. Part-time Employees At End of Last Fiscal Year
l6,Num. Full-Time Temporary Employees At End of Last FY
l6a,"Female Temporary, Full-Time Workers Employed Throughout Last FY"
l8,Avg. Length of Employment of All Full-Time Temporary Employees In Last FY
l37,"In the last 3 yrs., establishment has been involved in any labor dispute"
l38,Typical number of weeks to resolve labor dispute
l39,Cost to resolve labor dispute
l40,"In last FY, was establishment visited by health and safety inspectors"
l41,Was a report issued for health and safety inspection
l30a,How Much of An Obstacle: Labor Regulations?
l30b,How Much of An Obstacle: Inadequately Educated Workforce?
m1a,Biggest Obstacle Affecting The Operation of This Establishment
m1a_finance_pos,m1a: Position of Access to Finance
m1a_land_pos,m1a: Position of Access to land
m1a_permit_pos,m1a: Position of Business licensing and permits
m1a_corruption_pos,m1a: Position of corruption
m1a_courts_pos,m1a: Position of Courts
m1a_crime_pos,"m1a: Position of Crime, theft and disorder"
m1a_trade_pos,m1a: Position of Customs and trade regulations
m1a_electricity_pos,m1a: Position  of Electricity
m1a_workforce_pos,m1a: Position of Inadequately educated workforce
m1a_labor_pos,m1a: Position of Labor regulations
m1a_instability_pos,m1a: Position of Political instability
m1a_informal_pos,m1a: Position of Practices of competitors in the informal sector
m1a_taxadmin_pos,m1a: Position of Tax administration
m1a_taxrate_pos,m1a: Position of Tax rates
m1a_transport_pos,m1a: Position of Transport
n2a,"Total Labor Cost (Incl. Wages, Salaries, Bonuses, Etc) In Last Fiscal Year"
n2a2,Social security payments and employment-based taxes
n2b,Total Annual Costs of Electricity In Last Fiscal Year
n2k,Total Annual Cost of Water
n2l,"Total Annual Cost of high-speed, fixed broadband internet"
n2e,Cost of Raw Materials And Intermediate Goods Used In Prod. In Last Fiscal Year
n2i,Total Annual Cost of Finished Goods/Materials Bought To Resell In Last FY
n2a1,"Total Labor Cost (Incl. Wages, Salaries, Bonuses, Etc) 2 fiscal years ago"
n2e1,Total Cost of Raw Materials And Intermediate Goods Used In Production
n7a,Cost For Establishment To Re-Purchase All of Its Machinery
n11,Effective income-based tax rate
n12,Effective consumption tax rate
a15d,Day
a15m,Month
a15y,Year
a15h,Hour
a15min,Minutes
a16,Perception of The Questions Regarding Opinions And Perceptions
a17,Responses To The Questions About Figures Are…
a18,This Questionnaire Was Completed In:
a19h,"If Option 2 or 3 In A.18, Estimate Duration of The Whole Interview: Hours"
a19m,"If Option 2 or 3 In A.18, Estimate Duration of The Whole Interview: Minutes"
a13,Supervisor Number
a3b,official Capital City?
a3c,Main Business City?
a3,Size of Locality
d1a2_v4,Main Product/Service ISIC (Rev. 4) Code
stratificationregioncode, stratification region code
stratificationsizecode,stratification size code
stratificationsectorcode,stratification sector code
stratificationpanelcode,panel code
wstrict,Weight according to strict eligibility
wmedian,Weight according to median eligibility
wweak,Weight according to weak eligibility
strata,see notes
b1_RWA,
